AV-6, 205
2013-09-17T15:18:06, 37.0673018787, -70.2186662704
2013-09-17T15:24:06, 36.9743890688, -69.4907931983
2013-09-17T15:30:06, 36.8800954241, -68.7528339308
2013-09-17T15:36:06, 36.7851771601, -68.0112484004
2013-09-17T15:42:06, 36.6904406156, -67.2712181322
2013-09-17T15:48:06, 36.6042466555, -66.5364099573
2013-09-17T15:54:06, 36.4924651757, -65.8260113932
2013-09-17T16:00:06, 36.3809074089, -65.1179673057
2013-09-17T16:06:06, 36.5251410194, -64.7097672801
2013-09-17T16:12:06, 36.6167462524, -65.3315905016
2013-09-17T16:18:06, 36.6975814942, -65.9639983904
2013-09-17T16:24:06, 36.7782816198, -66.5959609486
2013-09-17T16:30:06, 36.8586918991, -67.2267833166
